Year,AnnualMaxLoss
1,706635.626882
2,7628828.725397
3,291125.209875
4,1304322.075289
5,152484922.690874
6,15720.923538
7,789754.969944
8,633508.507920
9,104229500.524801
10,6983151.967276
11,12848545.405051
12,93422.577318
13,1898779.108876
14,441147.633640
15,7367718.427327
16,40675728.852304
17,3382108.274549
18,226010429.073356
19,418687.416364
20,2060525.549790
21,810452.841684
22,14562996.044024
23,21064.870147
24,177590.752525
25,679303.743603
26,54293554.658090
27,6156055.674908
28,311346564.482562
29,79648708.822156
30,1446796.292115
31,905093.497526
32,24842.782355
33,18198710.456092
34,12881973.635035
35,6022371.660184
36,56923731.362657
37,102247985.907168
38,5741761.215354
39,40791527.709791
40,1588764.901465
41,7730562.026966
42,396119.802664
43,1276826.890131
44,20227549.406713
45,397963.461913
46,530227.236266
47,11306142.747824
48,24492139.909613
49,1452529.790172
50,92267791.347045
51,51760683.227140
52,1065940283.744570
53,628506.034284
54,1644705.561541
55,1231299.778863
56,665103.144741
57,6538850.852671
58,3094086.020862
59,92225464.400465
60,120793045.969492
61,1604514.926059
62,5950886.380717
63,3163219.661536
64,764088.010810
65,2019013.557825
66,3403477.182389
67,3285454.769120
68,21620152.847491
69,406808956.263854
70,7756373.364766
71,45416777.131290
72,9624543.103343
73,310750.840896
74,38401292.050047
75,245153735.536113
76,25902304.629033
77,23479613.517866
78,1678500.168803
79,3330610.725443
80,646218.357197
81,1650853.310668
82,9783476.114836
83,483198.072794
84,70352298.659070
85,507073075.999215
86,160233677.165871
87,1080883.156009
88,6391017.789958
89,74354732.107567
90,4717760.102847
91,81232495.065546
92,1314372.668372
93,7214085.340459
94,11879402.358276
95,22042861.205257
96,2079539.625980
97,13767614.133758
98,164988593.445606
99,116253525.036634
100,32078.773902
101,135786.945255
102,1282088.594098
103,29393102.640866
104,22837.316944
105,677066.673670
106,1127198.973347
107,7038422.060482
108,27899114.029637
109,148543935.883847
110,151313.228872
111,6699134.463500
112,50629116.015324
113,21278907.892277
114,2895514.967500
115,64073485.323094
116,298537.663343
117,807502.871459
118,1105237.983672
119,8036319.978074
120,2120955.106841
121,2807042.221984
122,1823359.807582
123,171663977.714721
124,9103399.908821
125,324207356.566922
126,4977993.461443
127,17633870.386585
128,87866174.940956
129,136932723.343429
130,2744244.397517
131,67948446.873268
132,96956.500631
133,2861828.053515
134,15450721.186157
135,2687435.708345
136,505611584.790445
137,36729.413965
138,5454348.202925
139,653108.331197
140,175393900.122727
141,5272098.814789
142,5107770.566985
143,71187.759657
144,3036263.708353
145,5841412.735324
146,29127486.361030
147,17400532.275495
148,4177614.880318
149,7626895.768447
150,525408520.861272
151,424796.787290
152,168943.496111
153,91796971.514249
154,3393753.856787
155,129107994.442853
156,1561966.867062
157,25933769.848708
158,1707651.467760
159,1042705.330630
160,740331.540182
161,130331432.577950
162,117595.751614
163,39646947.248975
164,351982729.310843
165,3376439.905137
166,12836290.157883
167,408947.647365
168,512201.239721
169,19481495.103369
170,45190.971176
171,23988249.442076
172,4325601.327641
173,31899083.094670
174,74591.542869
175,71979560.846862
176,305204034.070823
177,7853364.081913
178,2533.463605
179,181772.532270
180,877051.965637
181,184358.811130
182,176654.588932
183,4224873.681065
184,19667767.724887
185,718854.521686
186,1681465.601957
187,12569534.257991
188,151961705.803062
189,890235.697084
190,30229563.283976
191,73113.812777
192,36172246.580613
193,110392575.358624
194,403043.387556
195,80448945.073223
196,62585681.549962
197,2545157.403012
198,235053.910368
199,53413896.893830
200,20556358.686070
201,685285.695921
202,19786.988250
203,4726636.028761
204,88428983.077046
205,712561747.461884
206,39837538.740875
207,100215855.575098
208,1503381.367655
209,111503975.616364
210,4565874.325424
211,1334283.619835
212,2860818.848908
213,51822632.742540
214,533575.746876
215,1139999.933234
216,948368.504275
217,101026979.282398
218,109212249.433903
219,91730.285275
220,10465256.836768
221,22141827.693817
222,5193333.661968
223,1667526.256477
224,41028.815507
225,24865666.078474
226,97632.799443
227,475296785.794976
228,3369135.198707
229,2029051.702214
230,133086091.184390
231,91711488.843516
232,8875982.783792
233,26425.283402
234,2600475.208822
235,80515.713582
236,532337.130339
237,6124654.259300
238,641122.311469
239,602296869.893960
240,128283556.604146
241,410567.930173
242,572735.581987
243,38830287.554778
244,3923788.592081
245,2438335.730606
246,258248.064334
247,2484689.718425
248,9331519.448519
249,12518867.290955
250,8427913.663464
251,1797653.975230
252,259113.700091
253,6796878.078377
254,34137921.556587
255,37519656.572363
256,895897.745249
257,470705.626884
258,134028141.828643
259,217373172.679722
260,2627493.491944
261,86406522.958100
262,432291.190811
263,20554572.618685
264,88452042.245215
265,106134.259927
266,71338413.017253
267,25213854.135935
268,80185862.024617
269,119517037.667095
270,533634867.863065
271,256351717.092214
272,65378521.813086
273,264625046.053478
274,2683509.307532
275,1471097.945673
276,10786131.341483
277,19351431.719611
278,4617154.371134
279,233587.428228
280,319550.581751
281,313215382.041223
282,61291662.627417
283,37493310.891201
284,33697847.783155
285,3045785.670759
286,9071768.728188
287,283111237.977080
288,12573740.046398
289,4098537.067692
290,139685812.497402
291,392694.181565
292,270740640.875257
293,97560.140904
294,143886522.105367
295,349799.083709
296,151178.060518
297,11884.642723
298,544648.923154
299,672656.210441
300,1916557.671511
301,675574.802013
302,97385598.083887
303,3796599.685947
304,4348020.798350
305,294945.813321
306,6345639.694017
307,11514864.958539
308,1954573.240233
309,29250225.129639
310,92252643.910119
311,5645606.497798
312,9028364.877174
313,38853834.408015
314,13177075.072238
315,13290952.913543
316,17962639.075249
317,12022031.750332
318,1419129.631829
319,22871834.436360
320,51670.945240
321,116801.643138
322,5513876.516760
323,17841580.588726
324,3811590.727668
325,329673.582256
326,1789620.697743
327,532175.287221
328,3876447.111348
329,2043405.706762
330,24526116.100113
331,979856.305667
332,50610368.534746
333,1329079.120748
334,283309.431313
335,99920176.645739
336,2309166.796104
337,150832579.219020
338,1053142.399074
339,171559272.063017
340,74791.742304
341,94532117.658544
342,36271.135056
343,550731.242918
344,2640200.410459
345,653769.093425
346,582103.266947
347,56424.865238
348,32591683.542965
349,2701917.532270
350,150915735.061526
351,2282356.860566
352,67496418.754521
353,3168912.442334
354,3022808.176054
355,6191213.966531
356,4127147.929483
357,771184.680607
358,559537.656480
359,5050233.970687
360,2541703.520114
361,84114.205129
362,114077896.873280
363,117410817.678939
364,164869034.887507
365,1726082.085822
366,8910413.745198
367,704353.786660
368,1573065.360242
369,17122280.413286
370,162800.532730
371,780429.318319
372,28290700.358664
373,13517795.167131
374,19899683.834217
375,77073407.116955
376,85010521.821442
377,74429.826728
378,7686083.138078
379,11672012.765203
380,1020983.696551
381,3415997.337686
382,74405.699142
383,667677.322922
384,5580431.784505
385,12311661.556127
386,6096.642694
387,1119737.557282
388,47880.106673
389,115653089.146456
390,321889.376666
391,1987468.515770
392,111396264.417152
393,2733510.240474
394,1415534.798165
395,773387420.251235
396,6774860.606655
397,428896.225178
398,23150599.273983
399,6557431.853491
400,7430238.790136
401,21970219.713558
402,111911.444049
403,661710.996628
404,126217990.282133
405,583.111290
406,219930.910762
407,25379446.839416
408,377802.751557
409,132298438.398050
410,91.054219
411,1635200.346058
412,1819909.283945
413,159473114.496558
414,166500.037703
415,425283907.082086
416,36215913.206419
417,89222956.207966
418,689196.754066
419,52563882.765194
420,130627.739641
421,1745088.506705
422,361176315.757488
423,1278050841.545066
424,272081581.966641
425,2439768.900654
426,547542.257896
427,36921368.680423
428,326314.337587
429,249180960.501238
430,550305.428946
431,91238.769223
432,718248.021540
433,1297136.010776
434,373176.492959
435,333378881.817100
436,50894312.503919
437,107846083.441462
438,4617018.486810
439,901957.904738
440,2083282.241908
441,319552.639175
442,78922215.515935
443,981975.875654
444,55090568.499620
445,28238995.778054
446,1188414.111438
447,11307.216200
448,2352293.167551
449,259974271.463885
450,2280217.684617
451,319771447.470183
452,204369.062143
453,1191332.237239
454,66325148.262794
455,157029392.712639
456,60139294.356051
457,11467.844443
458,6556796.283263
459,645139.942474
460,1996339.797682
461,3023140.129131
462,87326152.593103
463,56429.328350
464,22072576.875866
465,2917700.563730
466,1281438.832795
467,1830981.176337
468,66040.573802
469,84450187.215919
470,4509036.475826
471,9961069.416188
472,5810685.553758
473,114722292.692146
474,97852891.873174
475,26605793.982751
476,21491139.036006
477,8298473.382071
478,2360828.854447
479,2020216.201202
480,9385964.693353
481,9605832.409704
482,44219355.264047
483,2732667.538580
484,19496509.520327
485,361954682.761280
486,8924622.471773
487,5812312.520620
488,41258241.872134
489,3022284.066222
490,3152561.179705
491,1260548.413703
492,1847025.119320
493,1791506.532653
494,19623699.500225
495,625563.949517
496,3499251.852491
